,city_name,country_code,latitude,longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
83,bredasdorp,za,-34.532154,20.040308,51.8,76,0,3.44,1619812325
84,kavieng,pg,-2.5666667,150.8,82.18,75,99,6.87,1619812325
85,bluff,nz,-46.6,168.333333,39.99,93,98,3,1619812326
86,vaini,to,-21.2,-175.2,73.4,100,90,8.05,1619812326
87,vaitupu,wf,-13.2333333,-176.15,83.57,75,70,11.43,1619812326
88,talnakh,ru,69.4865,88.3972,16.05,81,15,3.31,1619812327
89,taolanaro,mg,-25.0333333,47.0,77,83,20,20.71,1619812327
90,fairbanks,us,64.8377778,-147.7163889,35.6,64,40,8.05,1619812233
91,olafsvik,is,64.883333,-23.716667,33.85,62,63,27.74,1619812327
92,marsa matruh,eg,31.35,27.2333333,69.8,64,0,4.61,1619812327
93,hobyo,so,5.3513889,48.5255556,84.4,66,14,10.42,1619812328
94,eydhafushi,mv,5.1166667,73.0333333,83.39,75,53,5.95,1619812328
95,jalu,ly,29.0333333,21.55,89.46,10,0,10.47,1619812328
96,high level,ca,58.516667,-117.133333,55.4,50,75,16.11,1619812329
97,constitucion,mx,25.036944,-111.664444,93.83,9,0,7.29,1619812329
98,atuona,pf,-9.8,-139.0333333,78.87,70,2,4.05,1619812329
99,puerto ayora,ec,-0.75,-90.3166667,82.4,69,40,13.8,1619812330
100,nemuro,jp,43.323611,145.575,38.1,77,92,25.23,1619812330
101,hibbing,us,47.4272222,-92.9375000,51.8,24,1,5.12,1619812330
102,kirakira,sb,-10.45,161.9166667,78.73,87,100,7.45,1619812330
103,longyearbyen,sj,78.2166667,15.6333333,17.6,67,75,16.11,1619812331
104,mys shmidta,ru,68.933333,-179.5,17.01,89,99,26.55,1619812331
105,marsh harbour,bs,26.55,-77.05,79.56,65,6,9.44,1619812331
106,manggar,id,-2.883333,108.266667,80.13,78,99,0.58,1619812332
107,carnarvon,au,-24.88073,113.659401,66.2,59,77,11.5,1619812332
108,mumford,gh,5.2666667,-0.75,83.55,74,100,10.25,1619812332
109,severo-yeniseyskiy,ru,60.3725,93.040833,33.19,92,100,11.86,1619812333
110,key largo,us,25.0861111,-80.4475000,89.01,80,2,8.03,1619812333
111,rocha,uy,-34.4833333,-54.3333333,66.38,70,21,4.61,1619812333
112,saskylakh,ru,71.916667,114.083333,30.97,87,100,9.22,1619812333
113,chokurdakh,ru,70.633333,147.916667,3.88,96,40,4.23,1619812334
114,ostrovnoy,ru,68.053056,39.513056,17.37,89,58,7.43,1619812334
115,albany,au,-35.003101,117.865952,53.6,82,26,6.91,1619812334
116,chuy,uy,-33.6833333,-53.45,67.14,60,12,5.28,1619812335
117,faya,td,17.9166667,19.1166667,88.65,4,0,13.53,1619812335
118,cabo rojo,us,18.0886111,-67.1461111,84,70,42,5.01,1619812335
119,ewa beach,us,21.3155556,-158.0072222,80.6,57,75,10.36,1619812336
120,east london,za,-33.011051,27.910049,61.88,73,77,12.55,1619812336
121,kaitangata,nz,-46.275,169.85,44.01,84,58,4,1619812336
122,phan thiet,vn,10.933333,108.1,78.39,85,99,6.71,1619812336
123,piracuruca,br,-3.933333,-41.7,79.2,86,96,1.12,1619812337
124,fortuna,us,40.5983333,-124.1561111,64.99,82,1,16.11,1619812337
125,guarapari,br,-20.666667,-40.5,77,69,20,13.8,1619812337
126,arawa,pg,-6.2166667,155.55,75.49,87,38,1.39,1619812338
127,waipawa,nz,-41.412222,175.515278,53.6,71,40,20.71,1619812338
128,florianopolis,br,-27.583333,-48.566667,75.2,57,0,11.5,1619812338
129,tarko-sale,ru,64.9225,77.785,32,93,100,1.01,1619812283
130,arona,es,28.098519,-16.682201,69.8,52,75,12.66,1619812339
131,viedma,ar,-40.813452,-62.996676,77.86,29,98,15.05,1619812339
132,cockburn town,bs,24.0333333,-74.5166667,78.26,66,6,6.62,1619812339
133,chalchihuites,mx,23.483333,-103.883333,76.84,19,0,26.89,1619812340
134,saint anthony,ca,51.383333,-55.6,44.6,81,90,11.5,1619812340
135,quatre cocos,mu,-20.2077778,57.7625,78.01,83,20,11.5,1619812340
136,ayia galini,gr,35.1,24.6833333,80.01,73,20,4.61,1619812341
137,lebu,cl,-37.616667,-73.65,57.38,84,100,20.65,1619812341
138,santa marinella,it,42.033333,11.85,59,75,100,5.68,1619812341
139,putnok,hu,48.3,20.433333,51.19,94,10,3.36,1619812341
140,faanui,pf,-16.4833333,-151.75,79.86,75,100,2.48,1619812342
141,halifax,ca,44.65,-63.6,45,93,100,19.57,1619812342
142,aklavik,ca,68.216667,-135,28.4,80,100,8.05,1619812342
143,magadan,ru,59.566667,150.8,30.09,89,100,2.93,1619812343
144,tsihombe,mg,-25.3,45.4833333,72.45,75,64,3.04,1619812343
145,beidao,cn,34.568611,105.893333,57.52,40,0,2.66,1619812343
146,bhag,pk,29.0415,67.8239,91.15,17,0,5.48,1619812344
147,porto walter,br,-8.261111,-72.738889,86.23,44,38,4.16,1619812344
148,isangel,vu,-19.55,169.2666667,77.13,79,100,16.2,1619812344
149,finschhafen,pg,-6.6,147.85,77.59,81,47,4.9,1619812344
150,hithadhoo,mv,-0.6,73.0833333,84,72,85,7.61,1619812345
151,ayorou,ne,14.7313889,0.9194444,95.72,11,1,7.74,1619812345
152,victoria,sc,-4.6166667,55.45,82.4,83,20,5.75,1619812345
153,sur,om,22.5666667,59.5288889,85.24,39,61,7.96,1619812346
154,kurumkan,ru,54.3,110.3,35.13,66,97,1.57,1619812346
155,ionia,us,42.9872222,-85.0711111,54,32,1,13.8,1619812346
156,airai,pw,7.3575,134.5577778,78.8,94,75,13.27,1619812346
157,zhangye,cn,38.934167,100.451667,62.33,18,92,5.26,1619812347
158,linjiang,cn,41.806944,126.907778,39.31,93,100,2.15,1619812347
159,touros,br,-5.2,-35.466667,80.6,78,75,5.75,1619812347
160,sinnamary,gf,5.3833333,-52.95,75.06,92,100,4.59,1619812348
161,codrington,ag,17.6333333,-61.8333333,82.4,61,20,12.66,1619812348
162,veliki crljeni,rs,44.4675,20.284444,68,56,0,5.75,1619812348
163,toora-khem,ru,52.4675,96.11,36.36,99,100,2.06,1619812348
164,bekhtery,ua,46.250993,32.292672,53.6,82,0,6.71,1619812349
165,bella union,uy,-30.25,-57.5833333,75.99,41,0,7.65,1619812349
166,aykhal,ru,66,111.5,27.68,98,100,4.79,1619812349
167,broken hill,au,-31.961729,141.459976,55.4,54,100,6.91,1619812350
168,siquirres,cr,10.09748,-83.506588,86,66,0,9.22,1619812091
169,mount gambier,au,-37.831799,140.77919,57.2,54,100,10.36,1619812350
170,karasburg,na,-28.0166667,18.75,58.39,30,0,7.11,1619812350
171,la cruz,cr,11.073771,-85.632716,87.8,58,20,9.22,1619812350
172,lavrentiya,ru,65.583333,-171,22.19,79,50,3.67,1619812351
173,meulaboh,id,4.1363,96.1285,77,88,53,3.89,1619812351
174,hamilton,us,46.2469444,-114.1594444,78.01,35,76,4,1619812351
175,luderitz,na,-26.6480556,15.1594444,65.01,41,0,18.03,1619812352
176,rockport,us,28.0202778,-97.0541667,78.8,83,90,19.57,1619812352
177,hay river,ca,60.85,-115.7,33.8,93,90,9.22,1619812352
178,cockburn town,tc,21.4666667,-71.1333333,82.4,61,20,11.5,1619812352
179,beyneu,kz,45.316667,55.2,63.64,20,100,12.46,1619812353
180,sao filipe,cv,14.9,-24.5166667,73.81,76,46,11.12,1619812353
181,upernavik,gl,72.7833333,-56.1666667,34.03,78,100,6.04,1619812353
182,torbay,ca,47.65,-52.733333,43,70,75,13.8,1619812354
183,denau,uz,38.2666667,67.9,68.92,44,99,0.72,1619812354
184,darovskoy,ru,58.769992,47.956424,45.68,90,100,15.64,1619812354
185,klaksvik,fo,62.2333333,-6.6,37.4,81,40,5.75,1619812354
186,pueblo,us,38.2544444,-104.6086111,79,14,1,5.75,1619812355
187,katsuura,jp,35.133333,140.3,60.8,82,20,11.5,1619812355
188,avarua,ck,-21.2077778,-159.775,78.8,83,90,9.22,1619812355
189,cayenne,gf,4.9333333,-52.3333333,82.4,78,75,9.22,1619812356
190,lake havasu city,us,34.4838889,-114.3216667,99,7,1,3.44,1619812356
191,clyde river,ca,70.45,-68.566667,24.8,100,75,3.44,1619812356
192,ancud,cl,-41.869722,-73.820278,55.99,94,90,16.11,1619812356
193,dingle,ie,52.1408333,-10.2688889,46.4,81,75,3.44,1619812357
194,lakes entrance,au,-37.878941,147.995132,53.74,59,0,4.76,1619812357
195,pacific grove,us,36.6177778,-121.9155556,60.01,67,20,11.5,1619812357
196,nizhneyansk,ru,71.433333,136.066667,21.94,99,100,3.8,1619812358
197,saint-augustin,ca,51.233333,-58.65,43.54,72,94,10.76,1619812358
198,zyryanka,ru,65.75,150.85,30.47,87,100,3.47,1619812358
199,cape town,za,-33.925839,18.423218,59,72,0,12.66,1619812344
200,nioro,ml,15.2333333,-9.5833333,98.67,17,88,6.35,1619812358
201,bathsheba,bb,13.2166667,-59.5166667,82.4,57,75,18.41,1619812359
202,port alfred,za,-33.590572,26.891037,62.53,78,53,15.19,1619812359
203,iskandar,uz,41.5538889,69.7008333,62.6,72,0,11.5,1619812359
204,yulara,au,-25.245291,130.980545,53.6,40,92,6.91,1619812360
205,lolua,tv,-5.6666667,176.1333333,83.07,73,100,7.56,1619812360
206,cochabamba,bo,-17.3833333,-66.15,78.8,18,20,3.44,1619812360
207,saint george,bm,32.3816667,-64.6780556,75.2,69,75,18.41,1619812361
208,senador jose porfirio,br,-2.583333,-51.916667,83.26,71,92,4.03,1619812361
209,tuatapere,nz,-46.133333,167.683333,39.99,93,100,3,1619812361
210,kodiak,us,57.7900000,-152.4072222,46.4,42,1,17.27,1619812362
211,cap-aux-meules,ca,47.383333,-61.866667,37.4,100,100,17.27,1619812362
212,san juan,us,18.4683333,-66.1061111,86,69,75,13.8,1619812362
213,broome,au,-17.955379,122.23922,75.2,94,90,4.92,1619812363
214,hamilton,bm,32.2941667,-64.7838889,75.2,69,75,18.41,1619812363
215,nizhneangarsk,ru,55.783333,109.55,26.29,78,98,4.5,1619812363
216,bambous virieux,mu,-20.3427778,57.7575,78.01,83,20,11.5,1619812363
217,kyzyl-suu,kg,42.3408333,77.9980556,54.16,45,100,7.92,1619812364
218,nikolskoye,ru,55.193889,165.9925,37.76,79,51,5.14,1619812364
219,norman wells,ca,65.283333,-126.85,41,42,20,4.61,1619812364
220,tzimol,mx,16.266667,-92.266667,76.8,50,99,2.59,1619812364
221,tayshet,ru,55.9342,98.0044,31.44,94,8,4.52,1619812365
222,te anau,nz,-45.416667,167.716667,38.26,94,100,0.89,1619812365
223,shasta lake,us,40.6805556,-122.3697222,82.99,29,1,3.44,1619812365
224,panukulan,ph,14.933711,121.816847,79.59,75,20,3.42,1619812366
225,poum,nc,-20.2333333,164.0166667,74.59,70,57,10.25,1619812366
226,katangli,ru,51.7,143.233333,31.39,94,100,8.66,1619812366
227,hirara,jp,24.803788,125.302222,74.44,91,100,15.61,1619812367
228,ciudad bolivar,ve,8.1222222,-63.5497222,78.85,66,100,3.31,1619812367
229,laguna,br,-28.483333,-48.783333,73,57,0,1.01,1619812367
230,barentsburg,sj,78.0666667,14.2333333,17.6,67,75,16.11,1619812367
231,port elizabeth,za,-33.917988,25.570066,59,67,40,16.11,1619812108
232,hoquiam,us,46.9811111,-123.8880556,57,94,90,12.66,1619812368
233,portland,us,41.5727778,-72.6411111,66.2,34,75,13.8,1619812368
234,san rafael,ar,-34.617717,-68.330066,72.93,36,100,13.67,1619812368
235,quartucciu,it,39.251944,9.179444,66.2,72,0,11.5,1619812369
236,marawi,sd,18.4833333,31.8166667,92.46,13,9,7.05,1619812369
237,mucuri,br,-18.083333,-39.566667,75.54,75,99,16.87,1619812369
238,sedelnikovo,ru,56.946383,75.306594,42.1,88,100,9.17,1619812369
239,taltal,cl,-25.4,-70.483333,66.6,72,99,6.89,1619812370
240,jamame,so,0.0722222,42.7505556,81.32,78,65,9.86,1619812370
241,samarai,pg,-10.6166667,150.6666667,79.29,79,97,8.52,1619812370
242,goundi,td,9.3666667,17.3666667,87.3,42,98,6.08,1619812370
243,snyder,us,32.7177778,-100.9172222,69.8,40,40,9.22,1619812371
244,esperance,au,-33.86013,121.882591,48.2,93,40,5.75,1619812371
